feature,shap_imp
price_index,7.169044909208355
ord_success,4.660742665636506
inventory_ratio,4.065080997013635
demand_gap,3.030563052118252
fill,3.026925976103872
S,2.9571266253279354
amt_per_cust,1.4323571524696002
channel_coverage,1.399078778381066
full_surf,1.377714203560285
util,1.1961048475880829
unitval,0.9860540263475313
gross_margin,0.8953092154463819
new_cust,0.8615221286219951
cat_二类烟,0.582026859137747
cat_一类烟,0.10958753965287717
band_中档,0.09934589230219541
band_高档,0.07453881931993304
cat_四类烟,0.02734339394223042
band_中高档,0.021604528933425765
cat_三类烟,0.020779184771521925
cat_五类烟,0.0
band_中低档,0.0
band_低档,0.0
