ym,code,name,cat,wholesale,retail,demand,vol,amt,unitval,inv,fill,cost,profit,put,need,vol_daily,should_cust,put_cust,ord_cust,ord_success,ord_success_put,fill_daily,full_cust,util,full_surf,soc_vol,soc_inv,sell_rate,salable_days,vol_purchase,req,fill_purchase,should_cust_purchase,act_cust,put_surf,purch_surf,rep_cust2,rep_cust3,rep_cust4,rep_cust5,rep_rate2,rep_rate3,rep_rate4,rep_rate5,new_cust,date,month,price_index,gross_margin,inventory_ratio,demand_gap,amt_per_cust,channel_coverage,price_band_cat,S_clean,S_clean_lag2,S_clean_next,Y_clean,T,util_pre,fill_pre,full_surf_pre,ord_success_pre,price_index_pre,gross_margin_pre,unitval_pre,inventory_ratio_pre,channel_coverage_pre,demand_gap_pre,amt_per_cust_pre,new_cust_pre,S_clean_pre,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,band_中低档,band_中档,band_中高档,band_高档,band_低档,CATE,CATE_lo,CATE_hi,sensitivity,ps,Y_negative
202501,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.02,0.0,0.0,,9.78,0.0,0.0,0.0,0.0,,,844.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-01,1,1.177336276674025,,,100.0,0.0,,中高档,48.616816938738275,,31.81547327521844,-16.801343663519834,0,87.85,98.4588995,100.0,3.565,1.1448983330280271,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,1.5411004999999989,0.00279431071681765,8.0,31.950736130111284,0,1,0,0,0,0,0,1,0,0,0.1786559449204742,-2.502074288218088,2.8593861780590357,低敏感,0.38962002297666104,
202502,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.016,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-01,2,1.177336276674025,,,100.0,0.0,,中高档,31.81547327521844,,31.733403031692113,-0.08207024352632786,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,48.616816938738275,0,1,0,0,0,0,0,1,0,0,1.626903235557322,-4.194837264177206,7.448643735291851,高敏感,0.004533399027147214,
202503,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,845.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-01,3,1.177336276674025,,,100.0,0.0,,中高档,31.733403031692113,48.616816938738275,31.894166956886043,0.16076392519392968,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.81547327521844,0,1,0,0,0,0,0,1,0,0,1.33002936987982,-2.208063571766666,4.868122311526301,高敏感,0.06633702273916116,-16.801343663519834
202504,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,4,1.177336276674025,,,100.0,0.0,,中高档,31.894166956886043,31.81547327521844,31.60976485571706,-0.28440210116898257,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.733403031692113,0,1,0,0,0,0,0,1,0,0,0.4960386299658341,-4.560149928760686,5.552227188692353,中敏感,0.0659125419204934,-0.08207024352632786
202505,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,7.192,0.0,0.0,0.0,0.0,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01,5,1.177336276674025,,,100.0,0.0,,中高档,31.60976485571706,31.733403031692113,31.79475081791733,0.18498596220026897,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.894166956886043,0,1,0,0,0,0,0,1,0,0,1.2777052117481844,-2.2510047053662103,4.806415128862579,高敏感,0.06555024822859937,0.16076392519392968
202506,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,62.244,0.0,0.0,0.0,0.0,,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-01,6,1.177336276674025,,,100.0,0.0,,中高档,31.79475081791733,31.894166956886043,31.636362789491336,-0.15838802842599264,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.60976485571706,0,1,0,0,0,0,0,1,0,0,1.3132403651900022,-2.7971843400560332,5.4236650704360425,高敏感,0.06843529159725957,-0.28440210116898257
202507,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,30.14,0.0,0.0,0.0,0.0,,,843.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-01,7,1.177336276674025,,,100.0,0.0,,中高档,31.636362789491336,31.60976485571706,31.7690563271514,0.13269353766006375,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.79475081791733,0,1,0,0,0,0,0,1,0,0,1.277866982909078,-2.643076846063888,5.19881081188204,高敏感,0.06654565918782245,0.18498596220026897
202508,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.024,0.0,0.0,,17.74,0.0,0.0,0.0,0.0,0.02,0.0,842.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,8,1.177336276674025,,,100.0,0.0,,中高档,31.7690563271514,31.79475081791733,31.943973775271772,0.1749174481203717,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.636362789491336,0,1,0,0,0,0,0,1,0,0,0.4862863654626559,-4.5170643021296195,5.489637033054928,中敏感,0.06688898602407341,-0.15838802842599264
202509,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,13.864,0.0,0.0,0.0,0.032,0.032,0.032,846.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-09-01,9,1.177336276674025,,,100.0,0.0,0.4728132387706856,中高档,31.943973775271772,31.636362789491336,31.694544926138178,-0.24942884913359364,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.7690563271514,0,1,0,0,0,0,0,1,0,0,0.489288850488763,-4.640145073002087,5.618722773979612,中敏感,0.06555712861265504,0.13269353766006375
202510,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,209.932,0.0,0.0,0.0,0.0,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,10,1.177336276674025,,,100.0,0.0,,中高档,31.694544926138178,31.7690563271514,23.96823400625509,-7.726310919883087,0,100.0,0.0,100.0,0.47,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,0.4728132387706856,100.0,0.0,8.0,31.943973775271772,0,1,0,0,0,0,0,1,0,0,0.195100642999544,-3.091219489426608,3.481420775425693,低敏感,0.07169148096722659,0.1749174481203717
