feature,before,after
util_pre,-0.09698334791040314,0.004767663027602118
fill_pre,0.5554904242144114,-0.21445581368084823
full_surf_pre,-0.20249895862964093,-0.07152349863070717
ord_success_pre,0.15341476582778193,-0.03725348801270746
price_index_pre,0.012015171239857465,0.011346632764431862
gross_margin_pre,0.6291787084006475,0.0797627625396564
unitval_pre,0.3307246143264063,0.0672808443777335
inventory_ratio_pre,0.22082274399979243,0.07377278784896774
channel_coverage_pre,0.12086241959942205,0.010424249949157608
demand_gap_pre,-0.5554904242144105,0.21445581368084973
amt_per_cust_pre,0.0819137702044763,0.03388678104813371
new_cust_pre,0.1721688122115997,0.023289113617003986
S_clean_pre,0.34121507952742564,0.06760264888989644
cat_一类烟,0.08313023407648552,0.07066407800391097
cat_二类烟,-0.08622695844674533,0.0
cat_三类烟,0.017680540599220914,-0.06730012673703197
cat_四类烟,-0.041257882740175805,-0.05135165822189508
cat_五类烟,-0.117421697019682,0.0
band_低档,0.0,0.0
band_中低档,-0.117421697019682,0.0
band_中档,-0.09018339102791897,-0.08694246658064378
band_中高档,0.06455274142711565,-0.04115055915173226
band_高档,0.009506921396287667,0.0837316900407032
