ym,code,name,cat,wholesale,retail,demand,vol,amt,unitval,inv,fill,cost,profit,put,need,vol_daily,should_cust,put_cust,ord_cust,ord_success,ord_success_put,fill_daily,full_cust,util,full_surf,soc_vol,soc_inv,sell_rate,salable_days,vol_purchase,req,fill_purchase,should_cust_purchase,act_cust,put_surf,purch_surf,rep_cust2,rep_cust3,rep_cust4,rep_cust5,rep_rate2,rep_rate3,rep_rate4,rep_rate5,new_cust,date,month,price_index,gross_margin,inventory_ratio,demand_gap,amt_per_cust,channel_coverage,price_band_cat,S,S_prev,S_next,Y,T,util_pre,fill_pre,full_surf_pre,ord_success_pre,price_index_pre,gross_margin_pre,unitval_pre,inventory_ratio_pre,channel_coverage_pre,demand_gap_pre,amt_per_cust_pre,new_cust_pre,S_pre,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,band_中低档,band_中档,band_中高档,band_高档,band_低档,CATE,CATE_lo,CATE_hi,sensitivity,ps
202502,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.016,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-01,2,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202503,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,845.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-01,3,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202504,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,4,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202505,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,7.192,0.0,0.0,0.0,0.0,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01,5,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202506,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,62.244,0.0,0.0,0.0,0.0,,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-01,6,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202507,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,30.14,0.0,0.0,0.0,0.0,,,843.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-01,7,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202508,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.024,0.0,0.0,,17.74,0.0,0.0,0.0,0.0,0.02,0.0,842.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,8,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,27.0712744476253,-4.0558621797972485,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202509,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,13.864,0.0,0.0,0.0,0.032,0.032,0.032,846.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-09-01,9,1.177336276674025,,,100.0,0.0,0.4728132387706856,中高档,27.0712744476253,31.127136627422548,31.127136627422548,4.0558621797972485,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202510,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,209.932,0.0,0.0,0.0,0.0,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,10,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,27.0712744476253,37.44748591898985,6.3203492915673,0,100.0,0.0,100.0,0.47,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,0.4728132387706856,100.0,0.0,8.0,27.0712744476253,0,1,0,0,0,0,0,1,0,0,2.4294846629067512,0.7347648552015569,4.1242044706119465,低敏感,0.0770255498974009
202511,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.352,0.344,0.58437,16987.5,3.768,97.727273,0.385402,0.131759,0.032,0.032,0.032,849.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,0.34,0.35,97.73,849.0,43.0,2.77,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2025-11-01,11,1.177336276674025,0.2254718756951931,10.953488372093023,2.2727270000000037,0.0006883038869257,0.4711425206124852,中高档,37.44748591898985,31.127136627422548,18.6649227551228,-18.78256316386705,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202512,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,2.792,0.0,0.0,0.0,0.016,,,848.0,4.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2025-12-01,12,1.177336276674025,,,100.0,0.0,0.4716981132075472,中高档,18.6649227551228,37.44748591898985,31.127136627422548,12.462213872299749,1,100.0,97.727273,100.0,0.47,1.177336276674025,0.2254718756951931,16987.5,10.953488372093023,0.4711425206124852,2.2727270000000037,0.0006883038869257,43.0,37.44748591898985,0,1,0,0,0,0,0,1,0,0,4.88652009980568,2.071389315948721,7.701650883662646,高敏感,0.4682328614813683
202601,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.02,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01,1,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,18.6649227551228,31.127136627422548,0.0,0,0.0,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,0.4716981132075472,100.0,0.0,8.0,18.6649227551228,0,1,0,0,0,0,0,1,0,0,1.6231582253777694,-0.24679647034242946,3.4931129210979694,低敏感,0.06849642315216226
202602,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-01,2,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202603,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.004,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,839.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-01,3,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202604,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,0.544,0.0,0.0,0.0,0.0,,,832.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01,4,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202605,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,0.54,0.0,0.0,0.0,0.0,,,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01,5,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,18.64279978980213,-12.484336837620418,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,3.3994753818711825,-0.2578113294766564,7.056762093219019,中敏感,0.06956967486157972
202606,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,76.536,0.0,0.0,0.0,0.004,,,829.0,1.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2026-06-01,6,1.177336276674025,,,100.0,0.0,0.120627261761158,中高档,18.64279978980213,31.127136627422548,29.036078667310917,10.393278877508788,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,4.1883649610969105,-0.05289983602747217,8.429629758221296,中敏感,0.07028010844129023
202507,4891132601014,红双喜(爱国绿中支),一类烟,225.73,280.0,,,,,25.74,,,,0.0,,,843.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-01,7,1.240419970761529,,,,,,高档,50.225526719737736,50.225526719737736,35.14860021382431,-15.076926505913427,0,87.85,98.4588995,100.0,0.0,1.240419970761529,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,1.5411004999999989,0.00279431071681765,8.0,50.225526719737736,1,0,0,0,0,0,0,0,1,0,2.9408820757550527,-0.6504137211068022,6.532177872616911,低敏感,0.2318976247163461
202508,4891132601014,红双喜(爱国绿中支),一类烟,225.73,280.0,0.02,0.0,0.0,,16.084,0.0,0.0,0.0,0.0,,,842.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,8,1.240419970761529,,,100.0,0.0,,高档,35.14860021382431,50.225526719737736,48.30230796195614,13.15370774813183,0,87.85,98.4588995,100.0,0.0,1.240419970761529,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,1.5411004999999989,0.00279431071681765,8.0,50.225526719737736,1,0,0,0,0,0,0,0,1,0,2.9408820757550527,-0.6504137211068022,6.532177872616911,低敏感,0.2318976247163461
202509,4891132601014,红双喜(爱国绿中支),一类烟,225.73,280.0,0.032,0.032,0.180584,56432.5,3.008,100.0,0.119108,0.0407,0.0,,,846.0,,,0.0,,,,,,,,,,0.03,0.03,100.0,846.0,4.0,0.28,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2025-09-01,9,1.240419970761529,0.2253798786160457,94.0,0.0,0.0002134562647754,,高档,48.30230796195614,35.14860021382431,50.225526719737736,1.9232187577815978,0,87.85,0.0,100.0,0.0,1.240419970761529,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,35.14860021382431,1,0,0,0,0,0,0,0,1,0,3.828292549951049,1.3793747865848105,6.277210313317287,中敏感,0.016831418881140797
202510,4891132601014,红双喜(爱国绿中支),一类烟,225.73,280.0,,,,,10.244,,,,0.0,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,10,1.240419970761529,,,,,,高档,50.225526719737736,48.30230796195614,48.33039147734425,-1.8951352423934864,0,87.85,100.0,100.0,0.0,1.240419970761529,0.2253798786160457,56432.5,94.0,23.452380952380956,0.0,0.0002134562647754,4.0,48.30230796195614,1,0,0,0,0,0,0,0,1,0,3.9713027084399797,1.577339674665215,6.365265742214742,中敏感,0.133429153235295
202502,6901028000833,双喜(软经典),三类烟,97.0,110.0,4.472,4.412,10.6991,24250.0,1357.14,98.658318,6.877244,2.590908,2.944,2.144,2.136,846.0,736.0,534.0,63.12,72.55,99.63,534.0,72.55,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-02-01,2,1.134020618556701,0.2421613032871924,307.60199456029017,1.3416820000000058,0.0126466903073286,86.99763593380615,中高档,53.23115223308046,56.56034397569254,43.89618321709584,-9.334969015984619,0,89.29,99.080695,99.68,74.53,1.134020618556701,0.242164735891168,24250.0,67.69432989690722,95.8530805687204,0.9193049999999944,0.0222962085308056,3.0,56.56034397569254,0,1,0,0,0,0,0,1,0,0,6.93504952692808,3.6806089491263356,10.189490104729824,高敏感,0.5876784155027
202503,6901028000833,双喜(软经典),三类烟,97.0,110.0,0.928,0.888,2.1534,24250.0,1118.004,95.689655,1.384173,0.521475,3.216,2.22,2.196,845.0,402.0,276.0,32.66,68.66,98.92,273.0,68.28,98.91,,,0.0,,0.89,0.93,95.69,845.0,111.0,6.58,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-03-01,3,1.134020618556701,0.2421635553078852,1259.013513513513,4.310344999999998,0.0025484023668639,47.57396449704142,中高档,43.89618321709584,53.23115223308046,51.18456254739829,7.288379330302455,0,72.55,98.658318,100.0,63.12,1.134020618556701,0.2421613032871924,24250.0,307.60199456029017,86.99763593380615,1.3416820000000058,0.0126466903073286,8.0,53.23115223308046,0,1,0,0,0,0,0,1,0,0,5.84983237389666,2.661078380405159,9.038586367388161,高敏感,0.5815773061591786
