月份,品规,类别,CATE,下期变化,供给收缩前S*,顺价指数,存销比,复核建议,排序组
202505,苏烟(软金砂),一类烟,4.066,0.185,61.895,1.179,2471.87,优先人工复核,高排序
202503,黄鹤楼(软珍品),一类烟,4.014,30.248,59.327,1.226,16696.12,优先人工复核,高排序
202504,钻石(细支荷花),一类烟,3.98,28.678,62.203,1.165,812.02,优先人工复核,高排序
202510,黄鹤楼(硬1916如意),一类烟,3.89,0.115,62.34,1.179,2188.0,优先人工复核,高排序
202506,钻石(荷花),一类烟,3.872,13.271,58.525,1.161,2715.68,优先人工复核,高排序
202602,红金龙(硬新版),四类烟,-2.507,-24.881,14.987,1.124,71.13,暂缓供给收缩,低排序
202602,红金龙(硬神州腾龙),三类烟,-2.397,-16.328,25.251,1.136,59.14,暂缓供给收缩,低排序
202511,钻石(硬特醇),四类烟,-2.083,-9.617,14.881,1.124,138.78,暂缓供给收缩,低排序
202606,万宝路(软红2.0),二类烟,-1.692,-27.06,14.711,1.118,456.08,暂缓供给收缩,低排序
202512,泰山(硬红八喜),三类烟,-1.347,0.917,25.294,1.136,38.54,暂缓供给收缩,低排序
