ym,n,treated,top30_n,top30_dr,rest_dr,dr_lift,spearman_tau_dr
202509,153,5,46,10.462603672201745,8.786754728532468,1.6758489436692763,0.1475543181018187
202510,162,9,49,5.2659609842277,1.7559408858434573,3.510020098384243,0.12873414623929497
202511,145,10,44,12.694946037860506,3.1666163571111863,9.52832968074932,0.1120176041472702
202512,127,6,39,4.973695339898251,7.373039012441968,-2.3993436725437167,0.3062102704284093
202601,166,9,50,3.1513860808887584,11.125203803122405,-7.973817722233647,0.10627689287500625
202602,148,13,45,18.156382239977972,20.351079140594813,-2.19469690061684,0.17461542590535084
202603,148,5,45,6.32383664176968,5.3098551956543405,1.0139814461153396,0.282773090242973
202604,152,13,46,-9.485492158210002,-1.7678018790127217,-7.717690279197281,0.2744373717011784
202605,156,16,47,-7.483147549961455,1.7230929609023629,-9.206240510863818,0.2154142076375307
202606,144,23,44,5.105840927035853,0.3187305092196211,4.787110417816232,0.19029887487710992
