ym,n_train,n_test,n_treat_test,top30_n,top30_mean_Y,rest_mean_Y,lift_top30,top30_improve_rate,rest_improve_rate
202509,1270,153,5,2,7.749154900345398,15.009259736168495,-7.260104835823097,1.0,1.0
202510,1423,162,9,3,-1.1032352233444083,-0.49173864839159176,-0.6114965749528165,0.3333333333333333,0.5
202511,1585,145,10,3,0.30795454285532237,1.1653869804699772,-0.8574324376146549,0.6666666666666666,0.42857142857142855
202512,1730,127,6,2,15.257856880430097,10.982601534415842,4.275255346014255,1.0,1.0
202601,1857,166,9,3,-0.5928568506094946,4.345055239046331,-4.937912089655825,0.6666666666666666,0.8333333333333334
202602,2023,148,13,4,13.983199576486278,7.2820975441676,6.701102032318678,1.0,1.0
202603,2171,148,5,2,0.7705742092517092,1.3248383797807033,-0.5542641705289941,1.0,0.6666666666666666
202604,2319,152,13,4,-3.8972475331947845,0.326664435050417,-4.2239119682452015,0.5,0.4444444444444444
202605,2471,156,16,5,-2.1669553822930965,-1.0678951987156706,-1.0990601835774259,0.4,0.36363636363636365
202606,2627,144,23,7,1.1751613721501708,-1.5410549019710857,2.7162162741212565,0.42857142857142855,0.3125
