ym,n,n_treat,top30_n,top30_dr,rest_dr,dr_lift,rho_tau_dr
202509,116,5,35,1.6508643320849894,11.850678401855225,-10.199814069770236,0.07904969678462247
202510,107,11,33,7.180407620262884,4.734825673261179,2.4455819470017053,0.10631372447227178
202511,101,12,31,4.646275558575731,0.3883994935476247,4.257876065028106,0.06516731558992811
202512,82,8,25,9.802680416947375,-8.405642816812554,18.208323233759927,0.30050990145252615
202601,89,10,27,6.85799998124149,-1.1465267103997787,8.004526691641269,0.18156591023928792
202602,106,15,32,-12.259013083482753,-2.954629363327942,-9.30438372015481,0.026253873088646497
202603,113,4,34,1.3740064841697148,0.5182292698873916,0.8557772142823232,0.014276594992618095
202604,109,14,33,11.126418874200926,2.3776961847755644,8.748722689425362,0.15151515151515155
202605,116,17,35,-9.575311444525779,-15.924055908798474,6.348744464272695,-0.019413370237957944
202606,120,23,36,-2.853632024771246,1.2298056524135728,-4.083437677184818,0.060254184318355435
