月份,品规,类别,CATE,供给收缩前S*,顺价指数,存销比,下期变化,经营证据,后续动作建议
202505,苏烟(软金砂),一类烟,4.066,61.895,1.179,2471.87,0.185,状态位势较高且库存承压，优先核查价盘与库存消化,保留排序但不据单期变化扩大收缩，进入观察复核
202503,黄鹤楼(软珍品),一类烟,4.014,59.327,1.226,16696.12,30.248,状态位势较高且库存承压，优先核查价盘与库存消化,保留为优先复核案例，继续观察连续2期状态与价盘
202504,钻石(细支荷花),一类烟,3.98,62.203,1.165,812.02,28.678,高排序且状态位势较高，核查顺价修复空间,保留为优先复核案例，继续观察连续2期状态与价盘
202510,黄鹤楼(硬1916如意),一类烟,3.89,62.34,1.179,2188.0,0.115,状态位势较高且库存承压，优先核查价盘与库存消化,保留排序但不据单期变化扩大收缩，进入观察复核
202506,钻石(荷花),一类烟,3.872,58.525,1.161,2715.68,13.271,状态位势较高且库存承压，优先核查价盘与库存消化,保留为优先复核案例，继续观察连续2期状态与价盘
202602,红金龙(硬新版),四类烟,-2.507,14.987,1.124,71.13,-24.881,初始状态偏低，继续收缩可能放大终端缺货风险,暂缓进一步收缩，优先检查缺货、满足率和替代转移
202602,红金龙(硬神州腾龙),三类烟,-2.397,25.251,1.136,59.14,-16.328,初始状态偏低，继续收缩可能放大终端缺货风险,暂缓进一步收缩，优先检查缺货、满足率和替代转移
202511,钻石(硬特醇),四类烟,-2.083,14.881,1.124,138.78,-9.617,初始状态偏低，继续收缩可能放大终端缺货风险,暂缓进一步收缩，优先检查缺货、满足率和替代转移
202606,万宝路(软红2.0),二类烟,-1.692,14.711,1.118,456.08,-27.06,初始状态偏低，继续收缩可能放大终端缺货风险,暂缓进一步收缩，优先检查缺货、满足率和替代转移
202512,泰山(硬红八喜),三类烟,-1.347,25.294,1.136,38.54,0.917,初始状态偏低，继续收缩可能放大终端缺货风险,暂缓自动动作，维持人工观察
